Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Por Categoria,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo por Meta Alcançada (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20por%20Meta%20Alcanc%CC%A7ada%20dcdb89c0a2594301888907a8898ed4c7.csv),
Por Tipo de Venda,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo por Meta Alcançada (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20por%20Meta%20Alcanc%CC%A7ada%20dcdb89c0a2594301888907a8898ed4c7.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%201436990064e2436eae752c05fcb185e9.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%201436990064e2436eae752c05fcb185e9.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Urgentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Urgentes%20adf2e93955704200b29c777f12e5fb0e.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Urgentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Urgentes%20adf2e93955704200b29c777f12e5fb0e.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Aprovação (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Aprovac%CC%A7a%CC%83o%20c8a5f4ff911040eab987f5a18cfdd9dc.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Aprovação (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Aprovac%CC%A7a%CC%83o%20c8a5f4ff911040eab987f5a18cfdd9dc.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Revisadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Revisadas%205a44dd629fce4b67bb40443d4517b649.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Revisadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Revisadas%205a44dd629fce4b67bb40443d4517b649.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Rejeitadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Rejeitadas%20fa9ebb427f144e55bbe647300276e198.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Rejeitadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Rejeitadas%20fa9ebb427f144e55bbe647300276e198.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Média de Itens por Solicitação (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Itens%20por%20Solicitac%CC%A7a%CC%83o%20b766b560240e42a78ed4913b7cc24c48.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aprovadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Aprovadas%20fbdcd6e0e59b43c3a81fab18aa096e32.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aprovadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Aprovadas%20fbdcd6e0e59b43c3a81fab18aa096e32.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Conversões Realizadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Converso%CC%83es%20Realizadas%2082af9f42368f4d40ac39fee635e81aca.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Conversões Realizadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Converso%CC%83es%20Realizadas%2082af9f42368f4d40ac39fee635e81aca.csv),
Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Conversões Realizadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Converso%CC%83es%20Realizadas%2082af9f42368f4d40ac39fee635e81aca.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Conversões Automáticas vs. Manuais (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Converso%CC%83es%20Automa%CC%81ticas%20vs%20Manuais%20d6e088d73855487ea82b06271d8096ac.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Conversões Automáticas vs. Manuais (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Converso%CC%83es%20Automa%CC%81ticas%20vs%20Manuais%20d6e088d73855487ea82b06271d8096ac.csv),
Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Conversões Automáticas vs. Manuais (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Converso%CC%83es%20Automa%CC%81ticas%20vs%20Manuais%20d6e088d73855487ea82b06271d8096ac.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Conversões Revertidas (Tarefas%2035631d51a2bd48b992678042ebb44814/Converso%CC%83es%20Revertidas%2080ed8f7d5f4648b695339ffb06cd3c5b.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Conversões Revertidas (Tarefas%2035631d51a2bd48b992678042ebb44814/Converso%CC%83es%20Revertidas%2080ed8f7d5f4648b695339ffb06cd3c5b.csv),
Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Conversões Revertidas (Tarefas%2035631d51a2bd48b992678042ebb44814/Converso%CC%83es%20Revertidas%2080ed8f7d5f4648b695339ffb06cd3c5b.csv),
Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Pendentes de Finalização (Tarefas%2035631d51a2bd48b992678042ebb44814/Pendentes%20de%20Finalizac%CC%A7a%CC%83o%2000eef9cc13dd47abb8257673ac1a673a.csv),
Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Pendentes de Finalização (Tarefas%2035631d51a2bd48b992678042ebb44814/Pendentes%20de%20Finalizac%CC%A7a%CC%83o%2000eef9cc13dd47abb8257673ac1a673a.csv),
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Pendentes de Finalização (Tarefas%2035631d51a2bd48b992678042ebb44814/Pendentes%20de%20Finalizac%CC%A7a%CC%83o%2000eef9cc13dd47abb8257673ac1a673a.csv),
Tipo de Nota,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Pendentes de Finalização (Tarefas%2035631d51a2bd48b992678042ebb44814/Pendentes%20de%20Finalizac%CC%A7a%CC%83o%2000eef9cc13dd47abb8257673ac1a673a.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vínculos Realizados (Tarefas%2035631d51a2bd48b992678042ebb44814/Vi%CC%81nculos%20Realizados%2015962aed4fb0477c908a1d17476b7dfb.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vínculos Realizados (Tarefas%2035631d51a2bd48b992678042ebb44814/Vi%CC%81nculos%20Realizados%2015962aed4fb0477c908a1d17476b7dfb.csv),
Por Produto/Serviço,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vínculos Realizados (Tarefas%2035631d51a2bd48b992678042ebb44814/Vi%CC%81nculos%20Realizados%2015962aed4fb0477c908a1d17476b7dfb.csv),
Por Tipo de Nota,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Vínculos Realizados (Tarefas%2035631d51a2bd48b992678042ebb44814/Vi%CC%81nculos%20Realizados%2015962aed4fb0477c908a1d17476b7dfb.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Finalizadas Sem Conferência (Tarefas%2035631d51a2bd48b992678042ebb44814/Finalizadas%20Sem%20Confere%CC%82ncia%20c418f3370a214d7aa391bd24f4851b82.csv),
Por Produto/Serviço,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Finalizadas Sem Conferência (Tarefas%2035631d51a2bd48b992678042ebb44814/Finalizadas%20Sem%20Confere%CC%82ncia%20c418f3370a214d7aa391bd24f4851b82.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Finalizadas Sem Conferência (Tarefas%2035631d51a2bd48b992678042ebb44814/Finalizadas%20Sem%20Confere%CC%82ncia%20c418f3370a214d7aa391bd24f4851b82.csv),
Por Tipo de Nota,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Finalizadas Sem Conferência (Tarefas%2035631d51a2bd48b992678042ebb44814/Finalizadas%20Sem%20Confere%CC%82ncia%20c418f3370a214d7aa391bd24f4851b82.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de impostos  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20impostos%20dfbe0b5844294476867770213ac5ff76.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de impostos  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20impostos%20dfbe0b5844294476867770213ac5ff76.csv),
Por Produto/Serviço,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de impostos  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20impostos%20dfbe0b5844294476867770213ac5ff76.csv),
Por Tipo de Nota,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de impostos  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20impostos%20dfbe0b5844294476867770213ac5ff76.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Frete  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Frete%20c5b90436f122484d97ea2f9dc4e45d46.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Frete  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Frete%20c5b90436f122484d97ea2f9dc4e45d46.csv),
Por Produto/Serviço,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Frete  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Frete%20c5b90436f122484d97ea2f9dc4e45d46.csv),
Por Tipo de Nota,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Frete  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Frete%20c5b90436f122484d97ea2f9dc4e45d46.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Ciclo Médio de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Ciclo%20Me%CC%81dio%20de%20Compra%204ee56c0b905947f39ee254887f103ad9.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Ciclo Médio de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Ciclo%20Me%CC%81dio%20de%20Compra%204ee56c0b905947f39ee254887f103ad9.csv),
Por Produto/Serviço,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Ciclo Médio de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Ciclo%20Me%CC%81dio%20de%20Compra%204ee56c0b905947f39ee254887f103ad9.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20a31e88dc87ef440a8d570ccad9797879.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20a31e88dc87ef440a8d570ccad9797879.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20a31e88dc87ef440a8d570ccad9797879.csv),
Por Tipo de Nota,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Custo Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20a31e88dc87ef440a8d570ccad9797879.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Crédito Devido (Tarefas%2035631d51a2bd48b992678042ebb44814/Cre%CC%81dito%20Devido%2048d8e61c6c6f4e92802304e140e4967d.csv),
Por Cliente,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Desconto%20469e8148c4b449e5943f4915417f8308.csv),
Total de Acréscimo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%203fe11c7fc0b54b99980004aa7959ebc7.csv), Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%206f475a2c6c264d6d9a6f3dfc8768bec0.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20aa4e816f05094827a0dead462563ac7a.csv)",Aplicativo Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Compra%20f785a10f5fb54534a75ed06aa1698b93.csv),Valor total dos acréscimos registrados nas notas de entrada.
Total de Seguro,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%20b8cf607a220a489f9f6537431d7458bf.csv), Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%204940ace970c94b8489003be475565d11.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%2051c7a31315834f7aa763e13f9279e63c.csv)",Aplicativo Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Compra%20f785a10f5fb54534a75ed06aa1698b93.csv),Valor total de seguro incluído nas notas de entrada.
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2039187d5310f140619850afbab165661c.csv),
Por Fornecedor,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2039187d5310f140619850afbab165661c.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Acre%CC%81scimo%2039187d5310f140619850afbab165661c.csv),
Por Fornecedor,,,,Não iniciado,,,,Total de Seguro (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Seguro%2079f48f51a32f487d9d7fbd24b60153dc.csv),
Por Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Seguro (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Seguro%2079f48f51a32f487d9d7fbd24b60153dc.csv),
Por Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Total de Seguro (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Seguro%2079f48f51a32f487d9d7fbd24b60153dc.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Boletos Emitidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Boletos%20Emitidos%20c6e9c965179044e588378b0afcffd10a.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Boletos Emitidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Boletos%20Emitidos%20c6e9c965179044e588378b0afcffd10a.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Pagamento Antecipado (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Pagamento%20Antecipado%202cf8b9d2e5914163b6714f14feed1e80.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Pagamento Antecipado (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Pagamento%20Antecipado%202cf8b9d2e5914163b6714f14feed1e80.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Recebimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Recebimento%208fea85d4acfa4d3aa7d71ec4b9af5c13.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Tempo Médio de Recebimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Recebimento%208fea85d4acfa4d3aa7d71ec4b9af5c13.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Total de Boletos Emitidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Boletos%20Emitidos%20f6b5ff1338fa428c856279c7afe0da5b.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Total de Boletos Emitidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Boletos%20Emitidos%20f6b5ff1338fa428c856279c7afe0da5b.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Total de Boletos Pagos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Boletos%20Pagos%205e1911481d6e410c87b530c5c056f465.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Total de Boletos Pagos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Boletos%20Pagos%205e1911481d6e410c87b530c5c056f465.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Boletos Pagos Após o Vencimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Boletos%20Pagos%20Apo%CC%81s%20o%20Vencimento%20ae5e815dfa0e4cb798e1f51c16ef5971.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Boletos Pagos Após o Vencimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Boletos%20Pagos%20Apo%CC%81s%20o%20Vencimento%20ae5e815dfa0e4cb798e1f51c16ef5971.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Inadimplência (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Inadimple%CC%82ncia%207ff5cac32dc241f3a87645d0b23189f2.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Inadimplência (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Inadimple%CC%82ncia%207ff5cac32dc241f3a87645d0b23189f2.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Boletos Contestados (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Boletos%20Contestados%20d62b034dd9104d2b97bb15bfa567d617.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Boletos Contestados (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Boletos%20Contestados%20d62b034dd9104d2b97bb15bfa567d617.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Renegociação de Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Renegociac%CC%A7a%CC%83o%20de%20Boletos%20eab6700d883641d2b4aa2f9951cb073c.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Renegociação de Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Renegociac%CC%A7a%CC%83o%20de%20Boletos%20eab6700d883641d2b4aa2f9951cb073c.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Cancelamento de Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Cancelamento%20de%20Boletos%2069dbcb0951cb4711afa214a3635ebf76.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Cancelamento de Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Cancelamento%20de%20Boletos%2069dbcb0951cb4711afa214a3635ebf76.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio por Boleto Emitido (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20por%20Boleto%20Emitido%20a56a77118a7e477796fa68fb107f025a.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Valor Médio por Boleto Emitido (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20por%20Boleto%20Emitido%20a56a77118a7e477796fa68fb107f025a.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Enviados para Protesto (Tarefas%2035631d51a2bd48b992678042ebb44814/Enviados%20para%20Protesto%2011f4f2de4b37420f92bbcd03898afe4b.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Variação da Taxa de Emissão no Período (Tarefas%2035631d51a2bd48b992678042ebb44814/Variac%CC%A7a%CC%83o%20da%20Taxa%20de%20Emissa%CC%83o%20no%20Peri%CC%81odo%20f88643c3a47342af840892cd3d2721af.csv),
Por Placa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Variação da Taxa de Emissão no Período (Tarefas%2035631d51a2bd48b992678042ebb44814/Variac%CC%A7a%CC%83o%20da%20Taxa%20de%20Emissa%CC%83o%20no%20Peri%CC%81odo%20f88643c3a47342af840892cd3d2721af.csv),
Valor Total de Ocorrências,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Associado (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Associado%200fc60032384a43d0ba0fc6fc20599022.csv), Por Placa (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Placa%206e0e786d39ed427aa58c86a029015b3e.csv)",Aplicativo Ocorrências (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Ocorre%CC%82ncias%20657c527575164ad8b8f69dbcc9c7b81e.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Volume de Rateios do Período (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Rateios%20do%20Peri%CC%81odo%20e7304050a68d449bbe28422804dada70.csv),
Por Associado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Retorno sobre Investimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Retorno%20sobre%20Investimento%2021323dc146734d2f88d44afd07054ba3.csv),
